blueWins,blueWardsPlaced,blueKills,blueDeaths,blueAssists,blueTotalGold,blueTotalMinionsKilled
0,22,5,7,3,15475,198
0,124,5,4,6,16243,225
1,18,3,7,2,15065,231
1,22,1,2,3,14359,228
1,13,11,4,8,19377,233
0,34,2,7,2,14135,220
1,24,8,4,8,17448,242
0,50,6,3,9,15958,213
0,16,10,5,13,18287,213
0,13,2,5,2,15534,252
0,33,2,5,2,14935,230
1,13,12,4,11,19331,255
1,17,8,6,7,17131,240
1,78,9,3,10,17983,230
0,16,5,6,5,16842,221
0,22,9,6,13,17569,212
0,15,5,5,3,15882,241
0,19,9,3,8,17049,202
0,40,1,7,1,13556,200
0,13,1,3,1,14692,227
1,15,8,7,10,17000,204
1,31,6,4,7,17200,235
0,44,5,7,2,15409,217
0,27,10,12,13,17283,184
0,16,5,9,5,15477,173
1,54,6,1,8,16763,224
1,13,9,5,4,18434,223
0,17,1,6,2,13731,218
1,14,5,6,6,17251,233
1,12,7,6,5,17051,246
0,14,7,7,6,16346,209
1,24,14,4,14,21095,249
1,14,6,4,3,16434,228
0,36,4,11,2,15834,197
1,40,8,9,9,16968,214
0,19,5,7,7,15949,209
1,17,5,7,3,16056,234
1,27,10,6,8,18392,222
1,17,6,2,9,16415,230
1,18,14,4,21,19948,220
1,13,9,4,6,18189,220
1,15,3,8,4,14398,194
1,22,6,0,8,17359,265
0,19,4,7,3,15817,210
0,12,3,5,3,15861,270
1,16,7,3,7,16355,238
1,57,11,9,13,18333,225
0,10,2,11,3,14562,196
1,18,11,6,13,19677,236
1,18,11,7,14,18793,217
0,22,4,12,0,14276,190
0,18,4,1,4,16808,227
0,15,3,9,3,15002,217
0,16,4,9,5,14354,173
1,11,5,6,6,15926,223
0,18,3,5,5,14742,241
1,18,6,10,8,16481,201
0,39,9,8,5,16307,194
1,39,6,2,3,16569,238
1,17,5,3,5,17322,229
0,18,3,8,2,14711,222
1,21,3,5,3,16009,268
0,14,5,10,4,15102,196
0,40,6,9,5,15499,222
1,37,10,4,10,18456,218
0,13,5,2,5,15767,224
1,16,11,5,12,18890,223
0,15,4,8,3,14901,209
1,18,6,3,7,16785,245
1,37,10,5,15,18786,235
0,16,1,10,2,14727,219
1,35,10,5,14,18009,200
0,16,1,4,2,14526,224
0,15,8,6,8,16627,212
0,14,1,6,1,13075,169
0,16,5,11,4,16105,214
0,15,3,4,6,14782,213
1,13,5,3,4,15889,217
0,18,2,5,3,15158,250
0,16,3,3,4,15073,227
0,19,7,8,5,17125,240
0,17,6,9,6,16377,209
0,20,4,6,4,15888,234
0,16,2,3,3,14414,226
0,34,10,9,9,18329,219
0,16,6,7,10,16245,215
1,15,3,4,2,16120,223
0,10,5,7,8,15548,191
1,19,8,2,12,17432,209
1,18,9,7,10,16922,207
0,29,5,2,5,16142,245
0,14,2,8,2,14630,211
1,15,2,4,1,15131,239
0,12,8,5,7,17697,203
0,15,4,3,5,16116,244
1,18,10,7,9,18485,228
1,15,6,3,4,16980,241
1,14,5,4,6,17066,236
0,14,8,8,9,17202,214
0,15,1,8,2,14702,214
1,14,13,7,11,18692,238
0,16,11,13,13,18549,182
1,15,4,5,3,15859,242
1,15,4,9,5,16044,224
1,17,8,11,6,15941,180
0,23,5,9,4,15675,229
1,15,4,7,2,15682,234
1,56,7,8,7,15843,190
1,16,12,3,11,18248,201
1,13,4,7,3,15333,201
1,17,8,4,10,17496,246
1,14,12,8,15,19809,221
1,21,13,3,9,19329,246
0,22,5,9,2,15600,193
1,15,4,4,1,16292,274
0,22,5,10,6,17677,269
0,38,5,10,6,15141,176
0,15,5,8,1,14897,212
1,46,8,3,14,17520,211
0,17,8,7,9,17164,222
0,12,5,6,8,15999,234
1,10,2,6,1,14542,234
1,12,14,6,10,20225,194
0,17,11,6,10,18203,199
1,18,6,5,4,16787,253
0,19,2,11,2,14959,226
1,17,4,7,4,15132,190
0,14,3,6,4,16354,252
0,13,2,5,2,14652,205
0,30,4,2,7,15331,182
1,18,6,4,5,17002,218
1,53,7,11,10,16308,189
1,17,7,10,9,16282,198
0,14,3,7,3,14110,162
0,85,4,8,5,15426,226
0,14,5,6,4,15983,222
1,18,7,4,5,16801,211
1,22,6,3,10,17141,232
0,16,4,9,4,15122,195
0,16,5,5,7,16878,238
1,38,8,2,8,18274,238
0,17,2,8,3,14176,194
1,16,6,2,9,17549,243
0,18,5,8,7,16049,217
0,13,1,4,1,14017,229
1,17,14,3,16,20139,218
0,18,5,8,5,16659,234
0,15,5,8,4,15975,227
0,34,6,7,7,16728,221
1,18,6,5,9,16693,227
1,18,5,2,4,15925,228
0,20,8,8,5,16763,193
1,19,6,4,7,16852,239
0,14,2,6,3,14950,234
1,17,2,4,2,14863,195
0,15,3,12,2,15853,220
0,17,3,13,1,13428,167
1,18,7,8,8,17570,238
1,19,6,4,3,16561,232
0,18,8,14,4,15070,142
0,17,10,5,17,19190,202
0,21,3,8,1,14269,200
0,17,1,5,0,14916,239
1,14,5,8,7,16256,231
1,19,3,3,3,15231,221
1,19,7,10,9,16070,173
0,16,3,3,2,15416,228
1,10,7,5,4,19036,246
1,18,11,6,13,18214,220
0,20,6,9,7,17430,212
1,14,6,3,7,16590,228
1,15,4,1,6,15508,217
1,27,6,5,4,16789,218
1,76,5,5,6,16298,230
1,19,12,2,13,19320,251
0,13,4,11,4,14926,210
1,78,9,3,17,17496,220
1,14,7,11,7,15177,152
0,11,6,9,8,17025,231
1,16,9,5,14,18203,223
0,14,3,8,3,15160,217
1,15,4,1,2,15304,228
1,15,11,10,8,17503,192
1,16,7,6,10,16468,226
1,17,10,10,10,19035,219
1,19,10,9,11,18413,219
1,15,9,2,21,18470,263
0,15,6,13,9,16291,191
1,48,6,6,9,16301,210
0,14,9,8,7,17183,196
0,39,1,5,1,13361,174
1,38,2,1,4,14807,214
1,14,4,3,1,15195,217
1,12,3,7,2,14788,215
0,41,7,8,8,16604,203
0,12,4,4,2,15661,232
0,16,5,7,3,16259,221
1,20,11,4,13,19716,234
1,16,11,5,18,18612,227
0,15,3,9,1,14711,204
1,38,6,4,7,16886,221
0,17,4,7,4,14980,206
1,16,6,1,9,16544,208
0,32,10,12,9,16174,149
1,41,7,4,7,18047,228
1,34,9,3,6,17484,230
1,25,6,5,7,17826,225
1,18,10,6,9,18673,223
0,20,8,12,11,17540,182
0,16,7,9,4,16808,231
1,17,4,3,3,15227,203
1,20,11,4,12,19392,239
0,34,6,7,5,17194,234
1,16,4,8,3,15672,238
1,11,11,4,15,18565,216
0,15,1,6,0,13921,207
0,13,3,9,2,14521,201
0,15,3,10,1,15049,209
1,19,13,4,11,20127,234
1,15,3,2,5,17194,253
0,15,9,7,8,19122,238
1,40,7,6,7,16359,198
1,43,5,4,5,17027,213
0,143,10,7,10,17665,213
1,41,8,5,7,17209,219
1,12,10,5,9,19187,211
1,19,9,4,7,17482,214
1,20,5,6,6,16035,190
0,15,7,9,6,16070,199
0,11,5,5,5,15617,209
1,19,6,4,8,16130,242
0,17,8,5,9,17172,196
0,44,4,7,4,15475,195
0,11,7,9,6,16248,171
1,14,6,3,10,16745,215
0,20,7,4,8,16472,219
1,11,8,4,8,18133,259
0,97,11,7,20,17068,153
1,18,5,6,5,16635,235
1,19,8,4,9,17950,226
0,16,3,4,3,14494,224
1,33,14,10,9,18595,199
1,16,15,11,14,19767,180
1,19,4,3,7,14970,212
0,14,6,7,5,15891,207
1,16,5,1,3,16472,252
0,18,4,7,3,15210,185
1,21,8,8,9,16096,175
1,18,8,4,10,16870,207
0,17,4,4,3,15842,240
1,12,5,4,0,15297,202
0,15,8,7,8,16412,212
1,13,10,3,9,19013,225
0,18,4,9,5,14842,203
0,17,6,8,5,16684,213
0,16,4,8,6,15235,195
1,13,11,8,14,18159,238
0,13,2,9,4,13916,166
0,19,4,11,3,15107,200
1,18,8,2,4,18597,243
1,51,9,1,9,18640,249
0,14,4,8,5,15483,213
0,16,2,4,3,15242,260
0,51,3,4,5,14945,215
1,37,8,7,8,17197,185
1,16,9,10,11,17292,200
0,37,3,5,3,14822,231
0,12,3,8,2,15027,211
1,16,4,4,3,15502,221
0,14,7,7,6,16931,209
1,41,7,7,11,16787,201
1,15,3,4,4,15022,220
1,18,7,2,6,17365,245
1,16,6,4,7,17658,241
1,15,10,3,8,19549,266
0,35,5,4,6,16516,224
1,38,4,5,5,15177,189
1,146,11,7,9,18520,220
0,39,10,10,11,18600,183
1,17,9,4,8,18439,249
1,14,7,6,8,15632,196
0,22,10,4,17,17161,157
1,16,5,3,5,15263,216
1,10,9,6,8,16396,168
1,50,10,6,11,17592,186
1,21,6,4,9,17802,239
1,11,13,6,25,20047,226
0,12,2,9,4,13795,203
0,17,4,5,4,15714,243
0,19,2,7,2,16418,243
1,11,9,3,8,18012,261
0,17,3,10,3,14558,194
1,12,8,4,9,17779,247
1,16,6,3,5,16931,225
1,16,6,5,5,16555,224
1,12,5,6,8,16891,185
0,16,6,7,6,16940,222
1,11,7,6,5,17242,236
1,16,8,1,12,17734,207
0,17,10,8,11,17982,204
1,30,6,8,10,16162,211
1,15,12,1,11,18574,227
0,13,2,5,3,15123,232
1,14,6,8,4,16075,211
0,13,3,8,4,14443,198
1,14,5,4,4,16656,252
0,16,5,8,5,15938,196
1,17,1,2,2,14116,217
1,19,8,9,10,17054,211
1,38,4,5,2,15306,226
1,14,4,5,5,16193,235
1,15,10,7,8,18126,222
1,15,8,9,11,17592,214
1,18,7,4,16,16282,173
1,16,6,3,7,17167,247
0,15,7,16,6,15679,172
1,14,7,7,5,16045,216
0,15,6,7,8,16564,213
0,11,2,8,3,14376,208
0,15,2,5,1,14128,214
1,12,3,5,2,14584,201
1,20,9,8,8,18457,218
0,31,7,7,6,18282,240
0,88,7,11,10,17130,232
1,16,8,0,12,17759,249
1,15,8,3,7,17194,197
1,17,6,6,8,16527,225
1,15,7,4,12,17915,223
0,15,5,4,6,17610,232
1,16,12,10,20,19453,165
1,17,7,1,5,18772,255
0,15,1,3,3,14626,229
1,22,13,3,21,20387,232
0,15,6,6,6,17256,236
1,62,6,1,8,16601,231
0,21,1,3,1,14672,247
1,91,8,6,9,17001,187
0,39,8,11,6,18213,217
1,12,10,8,9,19862,252
0,16,9,1,10,18179,242
1,19,4,2,7,15796,234
1,28,6,9,7,15377,177
0,16,5,7,4,14874,182
0,19,7,9,8,17780,245
0,14,7,12,8,16804,184
0,16,7,13,9,17372,202
1,17,4,3,7,15162,195
0,18,3,3,7,14742,202
0,13,0,6,0,13078,184
0,14,2,5,4,13886,203
1,19,7,3,13,16632,212
1,14,6,2,5,17215,264
1,15,11,9,8,17528,191
0,13,5,3,9,16555,252
1,16,6,11,7,15246,174
0,94,3,9,3,14033,184
0,17,7,6,6,16778,205
1,15,11,5,8,18960,225
1,15,5,1,5,17065,220
1,88,9,7,8,18283,243
0,17,4,7,6,15190,196
1,15,9,5,8,18192,229
1,15,7,7,12,17329,212
0,34,5,8,3,16422,247
0,12,9,6,14,17385,208
1,51,11,3,9,16663,188
1,18,10,4,13,17902,186
0,22,8,11,9,17398,206
0,15,5,7,6,15532,201
0,15,6,6,4,15412,197
1,68,9,3,16,17718,209
0,16,8,8,9,17055,199
0,81,6,12,6,16020,215
0,17,6,6,6,16254,203
1,15,12,5,13,19201,214
0,16,5,10,6,15994,211
1,15,10,4,8,20352,232
0,9,0,9,0,12756,190
1,16,8,3,5,18661,233
0,20,2,6,2,15488,265
0,16,8,4,9,17547,214
1,17,12,6,11,19189,227
1,44,7,5,4,16749,192
1,14,5,4,6,16214,257
0,13,4,3,6,15500,216
0,85,2,6,3,14735,219
1,21,9,9,11,17489,221
1,13,16,5,16,20380,230
1,15,9,4,12,18048,227
0,18,5,4,4,15843,220
1,23,4,7,5,16810,224
0,13,5,5,5,15204,182
1,18,5,6,5,16006,225
1,15,6,3,6,16746,204
1,20,10,3,8,17648,181
1,13,12,8,18,18047,202
0,16,1,5,1,13976,210
0,72,11,6,5,17264,196
0,60,6,8,6,16767,228
1,26,10,6,10,19488,230
0,16,3,4,4,15875,241
1,14,8,7,7,17717,203
1,14,5,7,1,16864,240
0,37,3,4,3,14788,227
0,14,4,9,4,14743,197
0,13,11,10,20,17949,172
1,21,8,7,9,17737,193
0,13,5,6,5,15307,218
0,13,4,12,4,13973,166
1,14,7,10,8,18089,225
1,18,7,3,6,17224,237
1,20,11,7,12,17649,187
1,15,3,7,5,16886,244
0,16,2,4,2,14584,235
1,21,9,7,13,17331,201
1,88,8,4,4,17763,246
1,14,4,4,5,16814,220
0,13,3,8,2,14500,209
0,11,11,2,9,17435,236
0,14,4,5,3,14682,199
0,17,8,5,8,16752,229
0,13,3,2,5,15649,227
0,18,6,11,9,16124,232
1,11,18,13,6,21132,236
1,20,9,9,10,17569,228
1,16,9,8,11,17097,202
0,17,7,5,8,16906,218
1,16,5,4,6,16632,233
0,16,2,11,2,13449,180
0,14,8,11,9,16712,190
1,13,3,1,4,16372,279
0,18,9,5,6,17384,235
0,16,6,7,10,17075,229
0,15,11,7,7,18860,233
0,14,5,3,4,15381,211
0,14,2,9,2,13545,180
0,37,0,5,0,13256,202
0,13,3,6,1,14423,219
1,18,7,8,5,17551,244
1,25,11,6,12,19537,189
1,17,17,5,16,20218,199
1,18,5,5,5,15191,193
1,20,11,3,12,18802,224
1,10,7,3,3,17116,237
1,19,11,6,15,18230,195
0,16,6,7,3,15829,228
1,17,4,2,2,14729,228
1,14,8,7,9,17793,208
1,43,7,0,15,17525,240
0,17,8,9,13,17579,224
1,15,7,4,7,18227,256
0,13,4,6,1,14898,192
0,17,4,8,3,15769,222
0,24,12,12,17,19272,188
0,16,7,4,8,17788,255
0,12,3,11,4,14738,197
1,18,5,6,2,16113,231
0,14,9,5,11,18967,231
0,26,2,3,4,15416,253
0,13,9,5,8,18096,232
0,13,3,6,1,14411,210
1,18,4,3,2,15668,250
0,17,7,7,8,16288,193
0,15,11,11,13,18575,198
0,16,6,5,4,17379,251
0,12,3,8,3,15222,220
1,17,5,5,6,16191,238
0,9,2,5,3,14930,231
0,12,7,4,8,17062,238
0,16,4,8,5,14763,205
0,17,7,10,5,15351,169
0,20,11,7,8,17625,212
1,24,3,3,5,15933,259
0,12,11,14,8,18229,198
1,34,2,7,2,15356,230
1,13,7,9,6,17005,216
1,20,7,5,8,16747,198
0,14,6,7,9,16060,187
0,15,5,9,8,14998,197
0,23,6,7,7,16182,221
0,11,8,8,7,17065,214
0,17,3,4,4,15544,222
1,16,4,9,8,16541,225
1,24,6,5,9,15112,184
0,15,8,11,7,17550,229
1,20,8,2,9,18323,262
1,18,6,1,5,18553,248
0,13,4,4,5,15252,225
1,18,7,8,3,16863,206
0,15,1,4,2,13925,216
1,15,7,5,8,16828,217
0,15,4,9,6,15391,189
1,21,5,2,4,16350,245
1,14,6,6,7,17159,223
0,14,4,8,3,15484,226
1,15,5,6,4,17024,254
1,23,10,6,13,18680,220
0,16,4,11,2,14657,188
0,13,6,9,5,15550,191
0,21,6,12,3,15861,208
1,19,2,4,2,15202,225
0,19,4,7,5,15214,211
0,18,8,8,12,16171,214
0,63,9,4,5,18184,238
1,21,5,3,8,16751,247
0,17,6,1,8,16973,250
1,16,7,7,7,17239,222
0,14,2,11,4,14660,232
0,20,9,8,11,17429,211
1,14,8,3,8,18513,250
1,15,5,2,6,16225,231
0,14,5,5,5,16267,247
0,17,3,4,4,15478,233
0,87,7,3,10,16335,212
1,16,4,5,2,14826,204
1,19,9,7,19,19092,226
0,19,10,7,9,17619,186
1,15,9,8,9,16872,199
1,25,8,5,9,17265,233
1,17,11,7,12,19308,243
1,17,7,8,8,16535,230
0,18,6,8,8,16606,226
0,16,9,9,10,17168,212
0,15,4,4,6,14839,215
1,16,7,6,8,17812,244
0,18,3,5,4,14827,201
1,19,4,6,4,15578,229
0,20,7,3,8,16628,215
0,17,3,4,6,14609,218
0,40,1,7,1,13325,171
1,23,3,7,3,15277,234
0,15,6,5,4,16287,226
0,55,1,14,1,12747,180
0,13,9,9,7,17687,206
1,14,8,4,6,17187,232
0,12,3,12,4,14015,178
1,20,6,6,5,16291,228
1,14,4,2,9,16289,229
1,17,8,5,9,17234,228
0,18,3,8,4,14663,201
1,18,5,5,4,16278,244
1,16,14,17,18,19025,150
1,16,3,5,3,15366,230
0,16,0,5,0,14526,246
1,16,4,2,8,16547,259
1,12,2,5,1,14936,231
0,16,5,11,3,15594,213
0,17,9,6,11,17416,208
0,39,4,7,4,15722,221
0,37,3,2,2,16091,256
0,25,6,3,6,15048,183
1,16,17,10,25,23335,239
1,19,8,3,10,18272,233
0,23,5,5,6,16270,223
1,19,8,7,8,17298,233
1,19,4,2,6,17230,244
0,16,10,9,9,17098,201
0,18,8,6,11,17380,211
0,12,6,9,4,16829,198
0,15,3,5,6,14538,218
1,23,4,7,6,15159,217
0,27,5,8,3,14874,177
0,18,9,6,9,17721,226
1,16,9,3,10,20273,254
1,13,13,6,13,20103,220
1,19,7,5,10,16491,199
1,15,8,3,8,17640,233
1,26,5,4,8,15518,197
0,13,7,5,5,17381,220
0,16,3,3,1,15127,238
0,17,3,5,4,13794,183
1,16,3,4,0,15139,240
0,19,3,5,6,15929,229
1,23,2,5,3,14974,224
1,16,11,4,18,19695,258
1,17,4,4,0,15154,219
0,52,4,8,7,14766,190
0,15,9,4,11,17341,209
1,14,4,5,0,15464,218
1,19,8,9,9,18529,251
1,16,9,4,17,18149,202
0,19,3,2,6,15840,212
1,14,8,6,8,17915,215
0,17,5,5,7,16242,235
1,15,10,6,10,18498,238
0,18,10,9,15,19120,219
1,13,10,11,13,17948,193
0,30,6,5,8,16517,219
0,20,3,7,0,13452,170
0,17,5,10,3,15687,210
0,43,5,11,4,14763,179
0,12,7,6,8,16417,211
1,15,9,4,10,18168,254
0,18,7,8,9,15903,189
1,17,2,1,1,14702,244
0,16,11,5,10,18874,224
0,14,3,10,3,15225,211
0,16,4,5,7,15858,246
0,15,4,9,6,14693,169
1,16,3,2,3,15574,217
0,65,3,5,2,15692,221
1,11,9,1,13,18297,251
1,21,15,16,10,19247,205
0,12,1,7,1,15414,236
1,21,10,7,15,19601,227
0,15,3,6,0,15189,225
0,15,5,9,3,16452,232
0,13,2,5,3,14899,238
1,14,9,1,9,18964,255
1,21,12,1,14,18923,236
0,18,7,8,8,17472,229
0,17,3,9,2,14665,188
1,16,5,3,4,16415,213
0,18,2,11,2,13960,191
0,15,2,11,3,14773,202
1,13,11,5,11,19181,247
0,13,5,8,1,14528,175
0,14,6,7,3,15827,218
0,18,6,4,4,16179,215
1,15,3,5,5,15049,247
0,15,3,8,2,15453,209
1,39,1,2,0,14645,256
0,14,6,7,10,15766,197
1,16,7,2,10,18890,227
0,18,6,7,7,16450,238
0,37,6,5,5,16490,225
1,16,10,4,13,17408,193
1,18,6,6,12,16951,229
1,14,9,5,11,17120,163
0,18,2,2,2,14310,207
0,18,2,4,2,14689,241
1,15,8,4,10,18341,217
0,14,6,3,10,17772,251
0,40,4,7,4,16262,224
1,27,5,3,7,16239,189
0,18,6,12,9,16944,193
1,14,6,4,12,16939,211
0,17,2,4,3,14615,221
1,39,8,8,11,17706,231
0,18,8,5,7,17727,217
0,16,0,8,0,12988,153
1,16,8,1,8,17613,234
1,14,11,5,12,18632,227
1,17,5,6,2,15476,233
0,16,4,5,5,15717,224
1,18,8,8,8,18253,240
0,48,3,5,2,14349,205
0,16,4,6,6,15407,232
0,26,4,5,4,15273,211
0,14,4,6,5,14868,182
1,19,4,4,4,14892,199
1,124,10,4,12,18509,223
1,17,6,4,9,17096,241
1,15,6,3,10,17377,247
0,17,7,7,5,16554,235
1,17,4,5,6,15256,210
1,16,9,1,7,17710,230
0,17,4,5,3,15041,214
1,13,9,3,9,19027,247
1,15,10,6,16,18718,214
0,15,7,5,10,16938,231
1,17,7,3,3,16772,255
1,15,6,13,9,16035,160
0,14,3,3,5,15518,234
0,59,7,7,12,17543,195
1,18,3,4,4,15829,242
1,12,5,8,6,17389,231
1,17,7,7,7,16683,231
0,10,6,8,8,16985,240
0,14,2,8,2,14904,222
0,17,8,5,12,17551,237
0,38,5,9,3,15278,186
0,26,6,6,5,15539,191
1,39,11,8,16,17860,172
1,16,3,5,2,15156,207
1,23,9,6,11,18152,223
1,17,5,4,9,16587,252
0,20,4,3,5,15562,235
1,27,4,6,4,14944,200
0,15,5,10,8,15269,194
0,149,7,9,7,17166,224
1,15,5,11,6,14813,182
0,19,6,10,7,15787,205
0,67,6,8,4,14795,172
1,54,15,2,15,19848,224
0,16,1,7,1,13886,222
1,17,6,10,4,16149,212
1,37,7,7,4,15312,174
1,42,7,2,10,17267,224
0,13,5,4,3,15961,224
1,15,9,7,12,17704,196
0,13,1,6,2,14808,240
0,16,5,4,3,16374,227
0,13,6,1,11,16933,242
1,14,11,8,12,18156,208
1,18,12,9,9,19397,232
0,19,7,9,10,17033,209
1,25,11,10,7,19061,236
1,21,7,6,3,16653,229
1,11,5,8,5,16781,237
0,30,5,6,5,15978,210
1,14,3,6,3,15859,241
1,15,6,14,6,16205,196
1,15,10,10,11,17528,197
1,53,8,6,9,17154,202
0,18,4,7,6,16112,247
0,16,5,3,7,16210,226
1,43,6,4,10,18369,276
1,16,5,7,4,16097,243
0,17,1,11,2,13196,194
