,blueWins,blueWardsPlaced,blueKills,blueDeaths,blueAssists,blueTotalGold,blueTotalMinionsKilled
330,1,15,4,4,1,16292,274
331,0,22,5,10,6,17677,269
332,0,38,5,10,6,15141,176
333,0,15,5,8,1,14897,212
334,1,46,8,3,14,17520,211
335,0,17,8,7,9,17164,222
336,0,12,5,6,8,15999,234
337,1,10,2,6,1,14542,234
338,1,12,14,6,10,20225,194
339,0,17,11,6,10,18203,199
340,1,18,6,5,4,16787,253
341,0,19,2,11,2,14959,226
342,1,17,4,7,4,15132,190
343,0,14,3,6,4,16354,252
344,0,13,2,5,2,14652,205
345,0,30,4,2,7,15331,182
346,1,18,6,4,5,17002,218
347,1,53,7,11,10,16308,189
348,1,17,7,10,9,16282,198
349,0,14,3,7,3,14110,162
350,0,85,4,8,5,15426,226
351,0,14,5,6,4,15983,222
352,1,18,7,4,5,16801,211
353,1,22,6,3,10,17141,232
354,0,16,4,9,4,15122,195
355,0,16,5,5,7,16878,238
356,1,38,8,2,8,18274,238
357,0,17,2,8,3,14176,194
358,1,16,6,2,9,17549,243
359,0,18,5,8,7,16049,217
360,0,13,1,4,1,14017,229
361,1,17,14,3,16,20139,218
362,0,18,5,8,5,16659,234
363,0,15,5,8,4,15975,227
364,0,34,6,7,7,16728,221
365,1,18,6,5,9,16693,227
366,1,18,5,2,4,15925,228
367,0,20,8,8,5,16763,193
368,1,19,6,4,7,16852,239
369,0,14,2,6,3,14950,234
370,1,17,2,4,2,14863,195
371,0,15,3,12,2,15853,220
372,0,17,3,13,1,13428,167
373,1,18,7,8,8,17570,238
374,1,19,6,4,3,16561,232
375,0,18,8,14,4,15070,142
376,0,17,10,5,17,19190,202
377,0,21,3,8,1,14269,200
378,0,17,1,5,0,14916,239
379,1,14,5,8,7,16256,231
380,1,19,3,3,3,15231,221
381,1,19,7,10,9,16070,173
382,0,16,3,3,2,15416,228
383,1,10,7,5,4,19036,246
384,1,18,11,6,13,18214,220
385,0,20,6,9,7,17430,212
386,1,14,6,3,7,16590,228
387,1,15,4,1,6,15508,217
388,1,27,6,5,4,16789,218
389,1,76,5,5,6,16298,230
390,1,19,12,2,13,19320,251
391,0,13,4,11,4,14926,210
392,1,78,9,3,17,17496,220
393,1,14,7,11,7,15177,152
394,0,11,6,9,8,17025,231
395,1,16,9,5,14,18203,223
396,0,14,3,8,3,15160,217
397,1,15,4,1,2,15304,228
398,1,15,11,10,8,17503,192
399,1,16,7,6,10,16468,226
400,1,17,10,10,10,19035,219
401,1,19,10,9,11,18413,219
402,1,15,9,2,21,18470,263
403,0,15,6,13,9,16291,191
404,1,48,6,6,9,16301,210
405,0,14,9,8,7,17183,196
406,0,39,1,5,1,13361,174
407,1,38,2,1,4,14807,214
408,1,14,4,3,1,15195,217
409,1,12,3,7,2,14788,215
410,0,41,7,8,8,16604,203
411,0,12,4,4,2,15661,232
412,0,16,5,7,3,16259,221
413,1,20,11,4,13,19716,234
414,1,16,11,5,18,18612,227
415,0,15,3,9,1,14711,204
416,1,38,6,4,7,16886,221
417,0,17,4,7,4,14980,206
418,1,16,6,1,9,16544,208
419,0,32,10,12,9,16174,149
420,1,41,7,4,7,18047,228
421,1,34,9,3,6,17484,230
422,1,25,6,5,7,17826,225
423,1,18,10,6,9,18673,223
424,0,20,8,12,11,17540,182
425,0,16,7,9,4,16808,231
426,1,17,4,3,3,15227,203
427,1,20,11,4,12,19392,239
428,0,34,6,7,5,17194,234
429,1,16,4,8,3,15672,238
430,1,11,11,4,15,18565,216
431,0,15,1,6,0,13921,207
432,0,13,3,9,2,14521,201
433,0,15,3,10,1,15049,209
434,1,19,13,4,11,20127,234
435,1,15,3,2,5,17194,253
436,0,15,9,7,8,19122,238
437,1,40,7,6,7,16359,198
438,1,43,5,4,5,17027,213
439,0,143,10,7,10,17665,213
440,1,41,8,5,7,17209,219
441,1,12,10,5,9,19187,211
442,1,19,9,4,7,17482,214
443,1,20,5,6,6,16035,190
444,0,15,7,9,6,16070,199
445,0,11,5,5,5,15617,209
446,1,19,6,4,8,16130,242
447,0,17,8,5,9,17172,196
448,0,44,4,7,4,15475,195
449,0,11,7,9,6,16248,171
450,1,14,6,3,10,16745,215
451,0,20,7,4,8,16472,219
452,1,11,8,4,8,18133,259
453,0,97,11,7,20,17068,153
454,1,18,5,6,5,16635,235
455,1,19,8,4,9,17950,226
456,0,16,3,4,3,14494,224
457,1,33,14,10,9,18595,199
458,1,16,15,11,14,19767,180
459,1,19,4,3,7,14970,212
460,0,14,6,7,5,15891,207
461,1,16,5,1,3,16472,252
462,0,18,4,7,3,15210,185
463,1,21,8,8,9,16096,175
464,1,18,8,4,10,16870,207
465,0,17,4,4,3,15842,240
466,1,12,5,4,0,15297,202
467,0,15,8,7,8,16412,212
468,1,13,10,3,9,19013,225
469,0,18,4,9,5,14842,203
470,0,17,6,8,5,16684,213
471,0,16,4,8,6,15235,195
472,1,13,11,8,14,18159,238
473,0,13,2,9,4,13916,166
474,0,19,4,11,3,15107,200
475,1,18,8,2,4,18597,243
476,1,51,9,1,9,18640,249
477,0,14,4,8,5,15483,213
478,0,16,2,4,3,15242,260
479,0,51,3,4,5,14945,215
480,1,37,8,7,8,17197,185
481,1,16,9,10,11,17292,200
482,0,37,3,5,3,14822,231
483,0,12,3,8,2,15027,211
484,1,16,4,4,3,15502,221
485,0,14,7,7,6,16931,209
486,1,41,7,7,11,16787,201
487,1,15,3,4,4,15022,220
488,1,18,7,2,6,17365,245
489,1,16,6,4,7,17658,241
490,1,15,10,3,8,19549,266
491,0,35,5,4,6,16516,224
492,1,38,4,5,5,15177,189
493,1,146,11,7,9,18520,220
494,0,39,10,10,11,18600,183
495,1,17,9,4,8,18439,249
496,1,14,7,6,8,15632,196
497,0,22,10,4,17,17161,157
498,1,16,5,3,5,15263,216
499,1,10,9,6,8,16396,168
500,1,50,10,6,11,17592,186
501,1,21,6,4,9,17802,239
502,1,11,13,6,25,20047,226
503,0,12,2,9,4,13795,203
504,0,17,4,5,4,15714,243
505,0,19,2,7,2,16418,243
506,1,11,9,3,8,18012,261
507,0,17,3,10,3,14558,194
508,1,12,8,4,9,17779,247
509,1,16,6,3,5,16931,225
510,1,16,6,5,5,16555,224
511,1,12,5,6,8,16891,185
512,0,16,6,7,6,16940,222
513,1,11,7,6,5,17242,236
514,1,16,8,1,12,17734,207
515,0,17,10,8,11,17982,204
516,1,30,6,8,10,16162,211
517,1,15,12,1,11,18574,227
518,0,13,2,5,3,15123,232
519,1,14,6,8,4,16075,211
520,0,13,3,8,4,14443,198
521,1,14,5,4,4,16656,252
522,0,16,5,8,5,15938,196
523,1,17,1,2,2,14116,217
524,1,19,8,9,10,17054,211
525,1,38,4,5,2,15306,226
526,1,14,4,5,5,16193,235
527,1,15,10,7,8,18126,222
528,1,15,8,9,11,17592,214
529,1,18,7,4,16,16282,173
530,1,16,6,3,7,17167,247
531,0,15,7,16,6,15679,172
532,1,14,7,7,5,16045,216
533,0,15,6,7,8,16564,213
534,0,11,2,8,3,14376,208
535,0,15,2,5,1,14128,214
536,1,12,3,5,2,14584,201
537,1,20,9,8,8,18457,218
538,0,31,7,7,6,18282,240
539,0,88,7,11,10,17130,232
540,1,16,8,0,12,17759,249
541,1,15,8,3,7,17194,197
542,1,17,6,6,8,16527,225
543,1,15,7,4,12,17915,223
544,0,15,5,4,6,17610,232
545,1,16,12,10,20,19453,165
546,1,17,7,1,5,18772,255
547,0,15,1,3,3,14626,229
548,1,22,13,3,21,20387,232
549,0,15,6,6,6,17256,236
550,1,62,6,1,8,16601,231
551,0,21,1,3,1,14672,247
552,1,91,8,6,9,17001,187
553,0,39,8,11,6,18213,217
554,1,12,10,8,9,19862,252
555,0,16,9,1,10,18179,242
556,1,19,4,2,7,15796,234
557,1,28,6,9,7,15377,177
558,0,16,5,7,4,14874,182
559,0,19,7,9,8,17780,245
560,0,14,7,12,8,16804,184
561,0,16,7,13,9,17372,202
562,1,17,4,3,7,15162,195
563,0,18,3,3,7,14742,202
564,0,13,0,6,0,13078,184
565,0,14,2,5,4,13886,203
566,1,19,7,3,13,16632,212
567,1,14,6,2,5,17215,264
568,1,15,11,9,8,17528,191
569,0,13,5,3,9,16555,252
570,1,16,6,11,7,15246,174
571,0,94,3,9,3,14033,184
572,0,17,7,6,6,16778,205
573,1,15,11,5,8,18960,225
574,1,15,5,1,5,17065,220
575,1,88,9,7,8,18283,243
576,0,17,4,7,6,15190,196
577,1,15,9,5,8,18192,229
578,1,15,7,7,12,17329,212
579,0,34,5,8,3,16422,247
580,0,12,9,6,14,17385,208
581,1,51,11,3,9,16663,188
582,1,18,10,4,13,17902,186
583,0,22,8,11,9,17398,206
584,0,15,5,7,6,15532,201
585,0,15,6,6,4,15412,197
586,1,68,9,3,16,17718,209
587,0,16,8,8,9,17055,199
588,0,81,6,12,6,16020,215
589,0,17,6,6,6,16254,203
590,1,15,12,5,13,19201,214
591,0,16,5,10,6,15994,211
592,1,15,10,4,8,20352,232
593,0,9,0,9,0,12756,190
594,1,16,8,3,5,18661,233
595,0,20,2,6,2,15488,265
596,0,16,8,4,9,17547,214
597,1,17,12,6,11,19189,227
598,1,44,7,5,4,16749,192
599,1,14,5,4,6,16214,257
600,0,13,4,3,6,15500,216
601,0,85,2,6,3,14735,219
602,1,21,9,9,11,17489,221
603,1,13,16,5,16,20380,230
604,1,15,9,4,12,18048,227
605,0,18,5,4,4,15843,220
606,1,23,4,7,5,16810,224
607,0,13,5,5,5,15204,182
608,1,18,5,6,5,16006,225
609,1,15,6,3,6,16746,204
610,1,20,10,3,8,17648,181
611,1,13,12,8,18,18047,202
612,0,16,1,5,1,13976,210
613,0,72,11,6,5,17264,196
614,0,60,6,8,6,16767,228
615,1,26,10,6,10,19488,230
616,0,16,3,4,4,15875,241
617,1,14,8,7,7,17717,203
618,1,14,5,7,1,16864,240
619,0,37,3,4,3,14788,227
620,0,14,4,9,4,14743,197
621,0,13,11,10,20,17949,172
622,1,21,8,7,9,17737,193
623,0,13,5,6,5,15307,218
624,0,13,4,12,4,13973,166
625,1,14,7,10,8,18089,225
626,1,18,7,3,6,17224,237
627,1,20,11,7,12,17649,187
628,1,15,3,7,5,16886,244
629,0,16,2,4,2,14584,235
630,1,21,9,7,13,17331,201
631,1,88,8,4,4,17763,246
632,1,14,4,4,5,16814,220
633,0,13,3,8,2,14500,209
634,0,11,11,2,9,17435,236
635,0,14,4,5,3,14682,199
636,0,17,8,5,8,16752,229
637,0,13,3,2,5,15649,227
638,0,18,6,11,9,16124,232
639,1,11,18,13,6,21132,236
640,1,20,9,9,10,17569,228
641,1,16,9,8,11,17097,202
642,0,17,7,5,8,16906,218
643,1,16,5,4,6,16632,233
644,0,16,2,11,2,13449,180
645,0,14,8,11,9,16712,190
646,1,13,3,1,4,16372,279
647,0,18,9,5,6,17384,235
648,0,16,6,7,10,17075,229
649,0,15,11,7,7,18860,233
650,0,14,5,3,4,15381,211
651,0,14,2,9,2,13545,180
652,0,37,0,5,0,13256,202
653,0,13,3,6,1,14423,219
654,1,18,7,8,5,17551,244
655,1,25,11,6,12,19537,189
656,1,17,17,5,16,20218,199
657,1,18,5,5,5,15191,193
658,1,20,11,3,12,18802,224
659,1,10,7,3,3,17116,237
660,1,19,11,6,15,18230,195
661,0,16,6,7,3,15829,228
662,1,17,4,2,2,14729,228
663,1,14,8,7,9,17793,208
664,1,43,7,0,15,17525,240
665,0,17,8,9,13,17579,224
666,1,15,7,4,7,18227,256
667,0,13,4,6,1,14898,192
668,0,17,4,8,3,15769,222
669,0,24,12,12,17,19272,188
670,0,16,7,4,8,17788,255
671,0,12,3,11,4,14738,197
672,1,18,5,6,2,16113,231
673,0,14,9,5,11,18967,231
674,0,26,2,3,4,15416,253
675,0,13,9,5,8,18096,232
676,0,13,3,6,1,14411,210
677,1,18,4,3,2,15668,250
678,0,17,7,7,8,16288,193
679,0,15,11,11,13,18575,198
680,0,16,6,5,4,17379,251
681,0,12,3,8,3,15222,220
682,1,17,5,5,6,16191,238
683,0,9,2,5,3,14930,231
684,0,12,7,4,8,17062,238
685,0,16,4,8,5,14763,205
686,0,17,7,10,5,15351,169
687,0,20,11,7,8,17625,212
688,1,24,3,3,5,15933,259
689,0,12,11,14,8,18229,198
690,1,34,2,7,2,15356,230
691,1,13,7,9,6,17005,216
692,1,20,7,5,8,16747,198
693,0,14,6,7,9,16060,187
694,0,15,5,9,8,14998,197
695,0,23,6,7,7,16182,221
696,0,11,8,8,7,17065,214
697,0,17,3,4,4,15544,222
698,1,16,4,9,8,16541,225
699,1,24,6,5,9,15112,184
700,0,15,8,11,7,17550,229
701,1,20,8,2,9,18323,262
702,1,18,6,1,5,18553,248
703,0,13,4,4,5,15252,225
704,1,18,7,8,3,16863,206
705,0,15,1,4,2,13925,216
706,1,15,7,5,8,16828,217
707,0,15,4,9,6,15391,189
708,1,21,5,2,4,16350,245
709,1,14,6,6,7,17159,223
710,0,14,4,8,3,15484,226
711,1,15,5,6,4,17024,254
712,1,23,10,6,13,18680,220
713,0,16,4,11,2,14657,188
714,0,13,6,9,5,15550,191
715,0,21,6,12,3,15861,208
716,1,19,2,4,2,15202,225
717,0,19,4,7,5,15214,211
718,0,18,8,8,12,16171,214
719,0,63,9,4,5,18184,238
720,1,21,5,3,8,16751,247
721,0,17,6,1,8,16973,250
722,1,16,7,7,7,17239,222
723,0,14,2,11,4,14660,232
724,0,20,9,8,11,17429,211
725,1,14,8,3,8,18513,250
726,1,15,5,2,6,16225,231
727,0,14,5,5,5,16267,247
728,0,17,3,4,4,15478,233
729,0,87,7,3,10,16335,212
730,1,16,4,5,2,14826,204
731,1,19,9,7,19,19092,226
732,0,19,10,7,9,17619,186
733,1,15,9,8,9,16872,199
734,1,25,8,5,9,17265,233
735,1,17,11,7,12,19308,243
736,1,17,7,8,8,16535,230
737,0,18,6,8,8,16606,226
738,0,16,9,9,10,17168,212
739,0,15,4,4,6,14839,215
740,1,16,7,6,8,17812,244
741,0,18,3,5,4,14827,201
742,1,19,4,6,4,15578,229
743,0,20,7,3,8,16628,215
744,0,17,3,4,6,14609,218
745,0,40,1,7,1,13325,171
746,1,23,3,7,3,15277,234
747,0,15,6,5,4,16287,226
748,0,55,1,14,1,12747,180
749,0,13,9,9,7,17687,206
750,1,14,8,4,6,17187,232
751,0,12,3,12,4,14015,178
752,1,20,6,6,5,16291,228
753,1,14,4,2,9,16289,229
754,1,17,8,5,9,17234,228
755,0,18,3,8,4,14663,201
756,1,18,5,5,4,16278,244
757,1,16,14,17,18,19025,150
758,1,16,3,5,3,15366,230
759,0,16,0,5,0,14526,246
760,1,16,4,2,8,16547,259
761,1,12,2,5,1,14936,231
762,0,16,5,11,3,15594,213
763,0,17,9,6,11,17416,208
764,0,39,4,7,4,15722,221
765,0,37,3,2,2,16091,256
766,0,25,6,3,6,15048,183
767,1,16,17,10,25,23335,239
768,1,19,8,3,10,18272,233
769,0,23,5,5,6,16270,223
770,1,19,8,7,8,17298,233
771,1,19,4,2,6,17230,244
772,0,16,10,9,9,17098,201
773,0,18,8,6,11,17380,211
774,0,12,6,9,4,16829,198
775,0,15,3,5,6,14538,218
776,1,23,4,7,6,15159,217
777,0,27,5,8,3,14874,177
778,0,18,9,6,9,17721,226
779,1,16,9,3,10,20273,254
780,1,13,13,6,13,20103,220
781,1,19,7,5,10,16491,199
782,1,15,8,3,8,17640,233
783,1,26,5,4,8,15518,197
784,0,13,7,5,5,17381,220
785,0,16,3,3,1,15127,238
786,0,17,3,5,4,13794,183
787,1,16,3,4,0,15139,240
788,0,19,3,5,6,15929,229
789,1,23,2,5,3,14974,224
790,1,16,11,4,18,19695,258
791,1,17,4,4,0,15154,219
792,0,52,4,8,7,14766,190
793,0,15,9,4,11,17341,209
794,1,14,4,5,0,15464,218
795,1,19,8,9,9,18529,251
796,1,16,9,4,17,18149,202
797,0,19,3,2,6,15840,212
798,1,14,8,6,8,17915,215
799,0,17,5,5,7,16242,235
800,1,15,10,6,10,18498,238
801,0,18,10,9,15,19120,219
802,1,13,10,11,13,17948,193
803,0,30,6,5,8,16517,219
804,0,20,3,7,0,13452,170
805,0,17,5,10,3,15687,210
806,0,43,5,11,4,14763,179
807,0,12,7,6,8,16417,211
808,1,15,9,4,10,18168,254
809,0,18,7,8,9,15903,189
810,1,17,2,1,1,14702,244
811,0,16,11,5,10,18874,224
812,0,14,3,10,3,15225,211
813,0,16,4,5,7,15858,246
814,0,15,4,9,6,14693,169
815,1,16,3,2,3,15574,217
816,0,65,3,5,2,15692,221
